PK;NOMBRE;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADAX;COORDENADAY;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
213;Agencia de Actividades;Laborables, de lunes a viernes de 8:30 a 14 horas (atención al público). Servicio de  Información urbanística,  es preciso concertar   cita previa . Para consultar expedientes relativos a  disciplina urbanística y sancionadora , la  atención presencial  es con  cita previa , y la atención telefónica se realizará a través del número de  teléfono indicado en la notificación  practicada al interesado.;En la nueva  Oficina de Declaración Responsable Telemática  de la Agencia de Actividades el ciudadano podrá cumplimentar presencialmente su Declaración Responsable asistido por un funcionario municipal habilitado o bien realizar el trámite por sí mismo, siempre que se cumplan los requisitos necesarios (se puede consultar en el apartado ' Más información ').  Para realizar la tramitación telemática de la declaración responsable, debe solicitar obligatoriamente cita previa a través de los siguientes canales:  en línea , teléfono 010, en las  Oficinas de Atención a la Ciudadania  de Línea Madrid o de la  Agencia de Actividades .  Zona wifi;Bus: 6 , 8 , 19 , 45 , 47 , 55 , 59 , 85 , 86 , 102 y 152.  Metro: Delicias, Palos de la Frontera (Línea 3), Atocha (Línea 1), Méndez Alvaro (Línea 6).   Renfe: Delicias, Atocha;Para cumplimentar presencialmente la Declaración Responsable, la nueva  Oficina de Declaración Responsable Telemática  de la Agencia de Actividades cuenta con:    Puestos de atención personal  para actividades comerciales y de servicios de hasta 150 m 2  de superficie, en los que un funcionario municipal habilitado le asistirá durante todo el proceso de cumplimentación y registro de su declaración responsable telemática.   Puestos de autoservicio  para cualquier actividad sometida a la Ordenanza para la Apertura de Actividades Económicas de la Ciudad de Madrid, en los que cualquier ciudadano podrá realizar el trámite por sí mismo.   La firma de su declaración responsable telemática requiere el uso de alguno de los  certificados electrónicos admitidos  por el Ayuntamiento.  Consultar requisitos para tramitar la  Declaración Responsable Telemática;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=42b3212f7e497210VgnVCM2000000c205a0aRCRD;BUSTAMANTE;CALLE;V;16;;MADRID;MADRID;28045;DELICIAS;ARGANZUELA;441704;4472640;40,40044959;-3,688268601;Información general: 010;;;/contenido/entidadesYorganismos/AyuntamientoMadrid/OrganismosEmpresasMunicipales; 
1745;Agencia de Actividades. Registro;Laborables, de lunes a viernes de 8:30 a 14 horas.  Cerrado los sábados y los días 24 y 31 de diciembre.  Los sábados no hay abierto ningún registro.;Las Oficinas de Registro del Ayuntamiento de Madrid están facultadas para recoger escritos dirigidos a cualquier órgano administrativo, ya sea de la Administración General del Estado, de la Administración Autonómica o de la Administración Local. En información relacionada se indican los documentos que no pueden presentarse por registro del Ayuntamiento de Madrid.;Metro: Delicias (línea 3), Palos de la Frontera (línea 3)  Bus: 6, 8, 19, 45, 47, 55, 59, 85, 86, 102  Renfe: Delicias, Atocha;Zona wifi de libre acceso;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f7c6f4061d497210VgnVCM2000000c205a0aRCRD;BUSTAMANTE;CALLE;V;16;;MADRID;MADRID;28045;DELICIAS;ARGANZUELA;441704;4472640;40,40044959;-3,688268601;10;;;/contenido/entidadesYorganismos/AyuntamientoMadrid/OficinasMunicipalesRegistro; 
1746;Área de Gobierno de Equidad, Derechos Sociales y Empleo;;Zona wifi;Bus: 6, 18, 62, 78, 148  Metro: Legazpi (líneas 3 y 6);;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2805ff632081c010VgnVCM1000000b205a0aRCRD;CHOPERA;PASEO;V;41;;MADRID;MADRID;28045;CHOPERA;ARGANZUELA;440786;4471949;40,39415981;-3,699021366;915 881 000;;ag.equidaddsociales@madrid.es;/contenido/entidadesYorganismos/AyuntamientoMadrid/AreasGobierno; 
1747;Biblioteca Pública Municipal Aluche (Latina);De lunes a viernes de 8:30 a 21 horas. Festivos cerrados.;"Accesible a personas con discapacidad física.  Espacios:  Sala de Consulta y Lectura; Zona de publicaciones periódicas; Sala infantil y juvenil.  Servicios:  Préstamo de libros, multimedia y revistas; Préstamo de dispositivos de ayuda a la lectura (lupas para libros y discman para audiolibros); Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios.";Metro : Laguna, Casa de Campo, Aluche  RENFE:  Laguna, Aluche   Bus : 25, 31, 138;Superficie:  712 metros cuadrados   Puestos de lectura:  130   Puestos de Internet:  18;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7f0e3d0b5e71c010VgnVCM1000000b205a0aRCRD;CAMARENA;CALLE;V;10;;MADRID;MADRID;28047;ALUCHE;LATINA;435929;4472190;40,39597072;-3,756271685;91 719 89 96;;bpaluche@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas; 
1748;Biblioteca Pública Municipal Ana María Matute (Carabanchel);De lunes a viernes de 8:30 a 21 horas. Festivos cerrados.;"Accesible a personas con discapacidad física.  Espacios:  Sala de consulta y lectura; Salas de trabajo en grupo; Sala polivalente; Zona de publicaciones periódicas; Sala infantil y juvenil.  Servicios:  Préstamo de libros, multimedia y revistas; Préstamo de dispositivos de ayuda a la lectura (lupas para libros y discman para audiolibros); Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía.";Metro : Marqués de Vadillo  Bus:  34, 35, 50, 118 y 119.;Superficie:  3.369 metros cuadrados   Puestos de lectura:  244   Puestos de Internet:  44   Sala polivalente:  74   Salas de trabajo en grupo:  3 (20 personas en total);1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=628e3d0b5e71c010VgnVCM1000000b205a0aRCRD;DE LOS COMUNEROS DE CASTILLA;CALLE;V;30;;MADRID;MADRID;28019;SAN ISIDRO;CARABANCHEL;438946;4472344;40,39758507;-3,720738633;"91 588 08 30                                                                                                                                                      
";;bpanammatute@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas; 
1750;Biblioteca Pública Municipal Ángel González (Latina);"De lunes a viernes de 8:30 a 21 horas; sábados de 9:10 a 17:50 horas y domingos de 9:10 a 13:50 horas. Los festivos y los fines de semana de agosto, la biblioteca permanecerá cerrada.";"Accesible a personas con discapacidad física.   Espacios:  Sala de consulta; Sala de lectura; Sala de estudio; Sala de publicaciones periódicas; Sala infantil; Bebeteca; Sala polivalente; Sala de actividades.   Servicios:  Préstamo de libros, multimedia y revistas; Préstamo de dispositivos de ayuda a la lectura (lupas para libros y discman para audiolibros); Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía.";Metro:  Campamento   Bus:  25, 36, 39, 65, 121, 131, 138, H;Superficie:  2.811 metros cuadrados   Puestos de lectura:  309   Puestos de Internet:  34   Puestos de la sala polivalente:  60   Puestos de la sala de actividades:  18    Página en Facebook;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ec750a2153ef9210VgnVCM2000000c205a0aRCRD;GRANJA DE TORREHERMOSA;CALLE;V;1;;MADRID;MADRID;28024;ALUCHE;LATINA;435063;4472320;40,39707463;-3,766488547;91 512 35 42;;bpangelgonzalez@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas; 
1752;Biblioteca Pública Municipal Buenavista (Salamanca);De lunes a viernes de 9 a 21 horas. Festivos cerrados.;"Accesible a personas con discapacidad física.  Espacios:  Sala de Consulta y Lectura; Zona de publicaciones periódicas; Sala infantil y juvenil.   Servicios:  Préstamo de libros, multimedia y revistas; Préstamo de dispositivos de ayuda a la lectura (lupas para libros); Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía.";Metro:  Diego de León, Manuel Becerra  Bus:  1, 43, 48, 56, 74, Circular;Superficie:  371 metros cuadrados   Puestos de lectura:  76   Puestos de Internet:  15;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c53e3d0b5e71c010VgnVCM1000000b205a0aRCRD;TOREROS;AVENIDA;V;5;;MADRID;MADRID;28028;GUINDALERA;SALAMANCA;443202;4476130;40,4319931;-3,670929244;91 724 08 04;;bpbuenavista@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas; 
1753;Biblioteca Pública Municipal Canillejas (San Blas-Canillejas);De lunes a viernes de 8:30 a 21 horas. Festivos cerrados.;"Espacios:  Sala de Consulta y Lectura; Zona de publicaciones periódicas; Sala infantil y juvenil; Sala polivalente (capacidad: 16 personas)  Servicios:  Préstamo de libros, multimedia y revistas; Préstamo de dispositivos de ayuda a la lectura (lupas para libros y discman para audiolibros); Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía.";Metro:  Canillejas, Torre Arias (Línea 5).  Bus:  77, 105, 140;Superficie:  466 metros cuadrados   Puestos de lectura:  98   Puestos de Internet:  6    Página en Facebook;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=eb9e995a8bf5d010VgnVCM2000000c205a0aRCRD;BOLTAÑA;CALLE;NUM;23;EN CENTRO CULTURAL BUERO VALLEJO;MADRID;MADRID;28022;CANILLEJAS;SAN BLAS-CANILLEJAS;448229;4477693;40,44640229;-3,61179332;91 741 11 34;;bpcanillejas@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas; 
1754;Biblioteca Pública Municipal Ciudad Lineal (Ciudad Lineal);De lunes a viernes de 8:30 a 21 horas. Festivos cerrados.;"Accesible a personas con discapacidad física.   Espacios:  Sala de Consulta y Lectura; Zona de publicaciones periódicas; Sala infantil y juvenil.   Servicios:  Préstamo de libros, multimedia y revistas; Préstamo de dispositivos de ayuda a la lectura (lupas para libros y discman para audiolibros); Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía.";Metro:  Ciudad Lineal   Bus : 4, 38, 48, 70, 77, 105, 109;Superficie:  483 metros cuadrados   Puestos de lectura:  114   Puestos de Internet:  10;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=82ce995a8bf5d010VgnVCM2000000c205a0aRCRD;HERMANOS GARCIA NOBLEJAS;CALLE;V;14;;MADRID;MADRID;28037;PUEBLO NUEVO;CIUDAD LINEAL;446054;4476600;40,43641736;-3,637346971;915 887 566;;bpciudadlineal@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas; 
1755;Biblioteca Pública Municipal Conde Duque (Centro);De lunes a viernes de 8:30 a 21 horas. Festivos cerrados.;"Accesible a personas con discapacidad física.   Espacios:  Sala de Consulta y Lectura; Préstamo de libros, CDs, CD-Rom y DVD; Zona de publicaciones periódicas.  Servicios:  Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Sala infantil; Reprografía.";Metro:  Ventura Rodríguez, Plaza de España, San Bernardo y Noviciado.  Bus : 1, 2, 7, 21, 44, 74, 147, Circular, Minibús M-2;Superficie:  5.870 metros cuadrados   Puestos de lectura:  227   Puestos de Internet:  26    Página en Facebook;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=13ec3d0b5e71c010VgnVCM1000000b205a0aRCRD;CONDE DUQUE;CALLE;V;9;;MADRID;MADRID;28015;UNIVERSIDAD;CENTRO;439833;4475645;40,42738668;-3,710599996;91 588 59 10;;bpcondeduque@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas; 
